FieldName,ExpectedDirection,H2r,H2rPval,BP_beta,BP_H2r,BP_H2rPval,BP_pval,ok.direction,Variablefullname,BP1_h2rpval,BP1_h2r,BP0_h2rpval,BP0_h2r,CR201_h2rpval,CR201_h2r,CR201_BP1_h2rpval,CR201_BP1_h2r,CR201_BP0_h2rpval,CR201_BP0_h2r,Domain,Construct,Num_BP,Num_nonBP,Num_naBP
ccMidPosterior,-,0.410,2.57E-08,-0.315,0.386,7.26E-08,3.30E-05,yes,middle posterior corpus callosum volume (mm^3) ,0.00563835,0.42090811,3.07E-05,0.435511932,7.00E-06,0.694361233,0.04505595,0.683614329,0.00114975,0.658226262,MRI|tier1,global,153,369,5
ccPosterior,-,0.655,1.63E-16,-0.289,0.622,1.20E-15,7.61E-05,yes,posterior corpus callosum volume (mm^3) ,0.0466571,0.397463818,1.48E-08,0.59343675,0.0014476,0.385450688,0.07004455,0.689828231,0.00940195,0.384817188,MRI|tier1,global,153,369,5
CerebellumCortex,-,0.662,5.75E-20,-0.185,0.678,5.15E-21,6.41E-05,yes,cerebellum cortex volume (mm^3) ,0.00114205,0.586421007,1.29E-14,0.764714175,1.21E-05,0.762670912,0.5,0,0.0001982,0.829658596,MRI|tier1,cerebellum,153,369,5
CerebellumWhiteMatter,-,0.528,1.68E-12,-0.095,0.516,2.06E-12,9.23E-02,yes,cerebellum white matter volume (mm^3) ,0.01142445,0.546493499,3.14E-08,0.54536395,0.00115385,0.482812739,0.0189883,1,0.01300625,0.446445035,MRI|tier1,cerebellum,153,369,5
CerebralCortex,-,0.493,3.89E-14,-0.243,0.539,1.13E-16,5.40E-09,yes,cerebral cortex volume (mm^3) ,0.0003004,0.704153752,2.46E-08,0.503254651,1.60E-06,0.575031135,0.01724305,0.955520766,0.00164795,0.484790569,MRI|tier1,global,153,369,5
CerebralWhiteMatter,-,0.432,1.01E-10,-0.246,0.445,1.40E-11,8.97E-08,yes,cerebral white matter volume (mm^3) ,0.0038691,0.520089253,2.50E-08,0.485476591,1.76E-05,0.554952197,0.35358605,0.16106714,0.00084175,0.538921645,MRI|tier1,global,153,369,5
CorpusCallosum,-,0.551,5.50E-13,-0.326,0.514,2.97E-12,6.30E-06,yes,total corpus callosum volume (mm^3) ,0.00164185,0.557242629,8.48E-08,0.559052012,2.05E-05,0.601873611,0.06852415,0.629592583,0.00017065,0.666762075,MRI|tier1,global,153,369,5
CSF,+,0.632,4.53E-19,0.192,0.635,4.59E-19,2.94E-03,yes,cerebrospinal fluid volume (mm^3) ,0.00337145,0.473529028,2.56E-09,0.605163644,5.75E-06,0.583724603,0.5,0,0.00012185,0.625165466,MRI|tier1,global,153,369,5
Hippocampus,-,0.427,2.16E-08,-0.223,0.430,1.00E-08,1.96E-04,yes,hippocampus volume (mm^3) ,0.0005342,0.719490704,6.38E-05,0.393913472,6.95E-06,0.684662447,0.2394064,0.421412837,0.0044872,0.59673565,MRI|tier1,limbic,153,369,5
InfLatVent,+,0.225,1.74E-04,0.216,0.226,1.10E-04,2.70E-03,yes,inferior lateral ventricle volume (mm^3) ,0.01779375,0.373687562,0.01372315,0.204992789,0.0643812,0.211148655,0.5,0,0.0055606,0.571967253,MRI|tier1,global,153,369,5
LateralVentricle,+,0.454,4.73E-10,0.208,0.439,4.73E-10,1.57E-03,yes,lateral ventricle volume (mm^3) ,1.93E-05,0.80078814,0.004082,0.255423986,0.0019105,0.387857314,0.3746798,0.165713581,0.01219135,0.407928818,MRI|tier1,global,153,369,5
Pallidum,-,0.406,1.44E-07,-0.060,0.400,1.41E-07,1.92E-01,yes,pallidum volume (mm^3) ,0.00235435,0.635118153,0.0107258,0.255813642,0.0101755,0.393221528,0.5,0,0.03583935,0.447936384,MRI|tier1,basalGanglia,153,369,5
Putamen,-,0.522,2.06E-12,-0.047,0.533,6.11E-13,2.20E-01,yes,putamen volume (mm^3) ,0.00148755,0.600083787,2.36E-07,0.577746145,0.0076676,0.429722636,0.5,0,0.0024644,0.767413027,MRI|tier1,basalGanglia,153,369,5
SA_bankssts,-,0.359,3.64E-09,0.056,0.339,1.58E-08,1.91E-01,no,posterior bank of the superior temporal sulcus surface area (mm^2) ,0.00136425,0.502012604,0.00031325,0.329006919,0.0048433,0.461517479,0.07337635,0.68289451,0.05160935,0.496204431,MRI|tier1,posteriorAssociation,153,369,5
SA_caudalanteriorcingulate,-,0.410,1.23E-10,0.003,0.402,1.54E-10,4.80E-01,no,caudal anterior cingulate surface area (mm^2) ,0.0424488,0.335734095,1.19E-05,0.388802816,0.0012261,0.334499568,0.26583675,0.238382472,0.04044185,0.256610481,MRI|tier1,limbic,153,369,5
SA_caudalmiddlefrontal,-,0.293,2.63E-06,-0.074,0.288,3.50E-06,1.30E-01,yes,caudal middle frontal surface area (mm^2) ,0.0561095,0.291964686,0.00046495,0.309653605,0.001928,0.428038195,0.1167483,0.460046555,0.04174525,0.442621727,MRI|tier1,prefrontal,153,369,5
SA_cuneus,-,0.271,9.15E-06,0.062,0.274,4.71E-06,1.96E-01,no,cuneus surface area (mm^2) ,0.0204558,0.411987753,0.0742965,0.127535082,0.0082447,0.299851777,0.30555975,0.363098727,0.23648085,0.121376427,MRI|tier1,primarySensoryMotor,153,369,5
SA_entorhinal,-,0.241,1.68E-04,0.144,0.241,1.30E-04,4.13E-02,no,entorhinal surface area (mm^2) ,0.2532141,0.129679074,0.00259325,0.25889962,0.00031225,0.477498807,0.46328,0.038280621,0.0022758,0.433784295,MRI|tier1,limbic,153,369,5
SA_fusiform,-,0.322,9.15E-07,0.020,0.330,6.42E-07,3.58E-01,no,fusiform surface area (mm^2) ,0.3471048,0.088991731,2.89E-05,0.36728472,0.00293985,0.419669723,0.5,0,0.0027171,0.486899069,MRI|tier1,posteriorAssociation,153,369,5
SA_inferiorparietal,-,0.338,7.04E-07,0.002,0.321,1.41E-06,4.88E-01,no,inferior parietal surface area (mm^2) ,0.00223145,0.494623628,0.00161995,0.284026023,0.00298315,0.417741899,0.04073855,1,0.01432505,0.368261133,MRI|tier1,posteriorAssociation,153,369,5
SA_inferiortemporal,-,0.417,7.88E-12,0.027,0.414,1.46E-11,3.09E-01,no,inferior temporal surface area (mm^2) ,0.0016335,0.593453245,1.21E-05,0.360942876,0.0011382,0.391638335,0.5,0,0.00192205,0.440751866,MRI|tier1,posteriorAssociation,153,369,5
SA_isthmuscingulate,-,0.637,3.69E-17,-0.038,0.628,7.20E-17,2.43E-01,yes,isthmus cingulate surface area (mm^2) ,0.2742931,0.154569545,6.05E-11,0.650782515,0.00218335,0.556422004,0.4942743,0.009812786,0.0055262,0.649831079,MRI|tier1,limbic,153,369,5
SA_lateraloccipital,-,0.509,1.58E-13,-0.048,0.514,1.63E-13,1.75E-01,yes,lateral occipital surface area (mm^2) ,0.00599315,0.484272284,2.29E-10,0.566244238,9.05E-06,0.599673785,0.240154,0.340495049,0.0002693,0.727200448,MRI|tier1,primarySensoryMotor,153,369,5
SA_lingual,-,0.487,2.15E-14,-0.077,0.484,6.99E-15,1.11E-01,yes,lingual surface area (mm^2) ,0.0016274,0.64224005,5.52E-07,0.40876199,1.22E-07,0.787057977,0.0154561,1,0.0002614,0.571902661,MRI|tier1,posteriorAssociation,153,369,5
SA_middletemporal,-,0.425,1.18E-10,-0.040,0.427,5.95E-11,1.92E-01,yes,middle temporal surface area (mm^2) ,0.00071585,0.585066375,2.78E-06,0.448182416,6.30E-06,0.587063195,0.0191252,0.894782324,0.00208815,0.465008955,MRI|tier1,posteriorAssociation,153,369,5
SA_paracentral,-,0.336,3.03E-06,0.010,0.324,3.22E-06,4.35E-01,no,paracentral surface area (mm^2) ,0.1945226,0.17418185,0.0037878,0.282906093,0.0064676,0.315833275,0.04203095,0.856020534,0.0660352,0.286724997,MRI|tier1,primarySensoryMotor,153,369,5
SA_parahippocampal,-,0.353,9.55E-08,0.061,0.351,9.74E-08,1.83E-01,no,parahippocampal surface area (mm^2) ,0.0461947,0.43209795,0.00054925,0.275369758,0.21027315,0.119688946,0.15215055,0.463529202,0.5,0,MRI|tier1,posteriorAssociation,153,369,5
SA_parsopercularis,-,0.261,1.04E-05,-0.128,0.276,4.56E-06,3.44E-02,yes,pars opercularis surface area (mm^2) ,0.0626686,0.259342011,0.0052692,0.234295028,0.24843485,0.101311698,0.3140105,0.250857818,0.23568045,0.17221847,MRI|tier1,prefrontal,153,369,5
SA_parstriangularis,-,0.377,6.24E-09,0.086,0.370,9.31E-09,8.84E-02,no,pars triangularis surface area (mm^2) ,1.80E-06,0.761888762,0.0042999,0.254849116,8.94E-05,0.532069828,0.0409961,0.72445433,0.00610615,0.524231343,MRI|tier1,prefrontal,153,369,5
SA_pericalcarine,-,0.539,1.57E-17,0.058,0.548,1.55E-18,2.17E-01,no,pericalcarine surface area (mm^2) ,0.0004651,0.580169942,1.67E-08,0.467321103,3.05E-07,0.683880943,0.0986255,0.678045601,0.0011145,0.482312301,MRI|tier1,primarySensoryMotor,153,369,5
SA_posteriorcingulate,-,0.305,2.06E-05,-0.014,0.298,2.01E-05,4.05E-01,yes,posterior cingulate surface area (mm^2) ,0.11027675,0.260645818,0.0062655,0.238520127,0.17328805,0.143843759,0.4544073,0.054625975,0.07408355,0.317210427,MRI|tier1,limbic,153,369,5
SA_precentral,-,0.251,8.62E-05,-0.044,0.240,1.44E-04,1.49E-01,yes,precentral surface area (mm^2) ,0.5,0,1.87E-05,0.395100901,0.00034575,0.53844855,0.5,0,0.0026698,0.608043752,MRI|tier1,primarySensoryMotor,153,369,5
SA_precuneus,-,0.399,5.14E-11,0.009,0.398,4.72E-11,4.30E-01,no,precuneus surface area (mm^2) ,0.00825315,0.442969598,5.71E-07,0.419007704,5.72E-05,0.419572929,0.18410065,0.397941568,0.00481335,0.37550406,MRI|tier1,posteriorAssociation,153,369,5
SA_rostralanteriorcingulate,-,0.346,1.72E-09,-0.019,0.342,2.58E-09,3.87E-01,yes,rostral anterior cingulate surface area (mm^2) ,0.088812,0.25546452,1.81E-07,0.439441008,0.013866,0.21593735,0.5,0,0.0165897,0.290989418,MRI|tier1,limbic,153,369,5
SA_rostralmiddlefrontal,-,0.352,6.29E-07,0.063,0.365,2.27E-07,6.67E-02,no,rostral middle frontal surface area (mm^2) ,0.1040019,0.326443427,4.41E-05,0.420326759,0.01151915,0.326966499,0.2763952,0.402234725,0.01316645,0.418056072,MRI|tier1,prefrontal,153,369,5
SA_superiorfrontal,-,0.580,3.71E-16,-0.011,0.573,1.29E-16,3.84E-01,yes,superior frontal surface area (mm^2) ,1.97E-05,0.827039293,1.19E-07,0.469082155,1.43E-07,0.885932875,0.04665465,0.882736703,0.0004852,0.686176141,MRI|tier1,prefrontal,153,369,5
SA_superiorparietal,-,0.442,9.61E-10,0.027,0.451,7.40E-10,3.10E-01,no,superior parietal surface area (mm^2) ,0.00185745,0.500118451,1.27E-05,0.448771604,0.08077025,0.182409774,0.3086439,0.209151636,0.17039675,0.184476535,MRI|tier1,posteriorAssociation,153,369,5
SA_superiortemporal,-,0.282,1.71E-04,-0.013,0.290,9.07E-05,3.80E-01,yes,superior temporal surface area (mm^2) ,0.47627775,0.011658832,0.00139735,0.320742632,0.00224525,0.434012948,0.07502855,0.631401854,0.0366306,0.363789489,MRI|tier1,posteriorAssociation,153,369,5
SA_supramarginal,-,0.304,3.84E-05,-0.047,0.299,3.20E-05,1.91E-01,yes,supramarginal surface area (mm^2) ,0.16099775,0.150874837,0.00083935,0.351404582,0.4112173,0.028085148,0.5,0,0.29663645,0.116983999,MRI|tier1,posteriorAssociation,153,369,5
SA_temporalpole,-,0.418,4.10E-09,0.119,0.422,8.64E-10,6.18E-02,no,temporal pole surface area (mm^2) ,3.01E-05,0.91531204,6.28E-05,0.372287555,0.1288044,0.128466188,0.3055604,0.284802263,0.45548965,0.019068138,MRI|tier1,posteriorAssociation,153,369,5
SA_transversetemporal,-,0.350,3.01E-07,-0.051,0.354,1.92E-07,1.99E-01,yes,transverse temporal surface area (mm^2) ,0.0352173,0.265817419,0.00010995,0.350242922,0.2358352,0.090250278,0.3568019,0.165031238,0.2041605,0.132948819,MRI|tier1,primarySensoryMotor,153,369,5
TA_bankssts,-,0.332,8.30E-06,-0.330,0.355,2.23E-06,2.85E-06,yes,posterior bank of the superior temporal sulcus average gray matter thickness (mm) ,0.0946673,0.225553788,0.00014235,0.376375809,0.0396529,0.264197607,0.5,0,0.09580035,0.259817927,MRI|tier1,posteriorAssociation,153,369,5
TA_caudalmiddlefrontal,-,0.257,2.23E-04,-0.186,0.257,2.14E-04,4.96E-03,yes,caudal middle frontal average gray matter thickness (mm) ,0.5,0,0.0001403,0.380698461,0.4039971,0.026587294,0.5,0,0.3120294,0.094800459,MRI|tier1,prefrontal,153,369,5
TA_cuneus,-,0.369,9.60E-10,-0.062,0.363,1.01E-09,2.10E-01,yes,cuneus average gray matter thickness (mm) ,0.5,0,1.98E-07,0.419735915,0.00207015,0.313739989,0.5,0,0.0033654,0.403876215,MRI|tier1,primarySensoryMotor,153,369,5
TA_entorhinal,-,0.267,2.56E-05,-0.173,0.274,1.41E-05,2.07E-02,yes,entorhinal average gray matter thickness (mm) ,0.1208611,0.210166053,0.00124685,0.276292858,0.00095105,0.400646025,0.10149195,0.573129657,0.00409455,0.464744766,MRI|tier1,limbic,153,369,5
TA_frontalpole,-,0.225,4.30E-05,-0.343,0.250,1.32E-05,8.70E-06,yes,frontal pole average gray matter thickness (mm) ,0.5,0,0.000102,0.297141622,0.5,0,0.5,0,0.5,0,MRI|tier1,prefrontal,153,369,5
TA_fusiform,-,0.375,5.39E-09,-0.271,0.390,1.50E-09,1.13E-04,yes,fusiform average gray matter thickness (mm) ,0.22491345,0.134315569,4.73E-05,0.388179302,0.00954265,0.295116228,0.21485595,0.406712479,0.16237325,0.192078021,MRI|tier1,posteriorAssociation,153,369,5
TA_inferiorparietal,-,0.425,3.99E-11,-0.176,0.419,6.37E-11,4.52E-03,yes,inferior parietal average gray matter thickness (mm) ,0.10587465,0.210107456,4.57E-08,0.483301415,0.2532565,0.071382859,0.4626138,0.081049948,0.496759,0.001276496,MRI|tier1,posteriorAssociation,153,369,5
TA_inferiortemporal,-,0.347,3.66E-07,-0.268,0.346,4.95E-07,2.23E-04,yes,inferior temporal average gray matter thickness (mm) ,0.0861949,0.252878759,0.00047425,0.347564696,0.0439777,0.210777168,0.5,0,0.2251056,0.142017311,MRI|tier1,posteriorAssociation,153,369,5
TA_isthmuscingulate,-,0.434,2.98E-09,-0.206,0.438,2.87E-09,3.24E-03,yes,isthmus cingulate average gray matter thickness (mm) ,0.1729852,0.195707384,4.81E-07,0.533344078,0.01353395,0.315394944,0.08826825,0.691431442,0.01296345,0.518433235,MRI|tier1,limbic,153,369,5
TA_lateraloccipital,-,0.494,2.94E-14,-0.183,0.487,2.89E-14,5.09E-03,yes,lateral occipital average gray matter thickness (mm) ,0.5,0,2.15E-14,0.677236471,0.0001587,0.45123945,0.49774325,0.005108874,0.0001516,0.625195292,MRI|tier1,primarySensoryMotor,153,369,5
TA_lateralorbitofrontal,-,0.245,2.03E-04,-0.311,0.293,2.43E-05,4.01E-05,yes,lateral orbito frontal average gray matter thickness (mm) ,0.5,0,0.00768435,0.236679678,0.38260985,0.027821217,0.5,0,0.4269897,0.02285712,MRI|tier1,prefrontal,153,369,5
TA_lingual,-,0.268,1.95E-05,-0.317,0.276,1.06E-05,1.28E-05,yes,lingual average gray matter thickness (mm) ,0.37669765,0.051405324,0.0004954,0.343257367,0.1020416,0.150354379,0.5,0,0.27814005,0.124718433,MRI|tier1,posteriorAssociation,153,369,5
TA_middletemporal,-,0.314,1.74E-06,-0.181,0.342,4.19E-07,5.99E-03,yes,middle temporal average gray matter thickness (mm) ,0.3980346,0.041941233,0.00063155,0.334058821,0.17202605,0.102594712,0.5,0,0.4541004,0.017561936,MRI|tier1,posteriorAssociation,153,369,5
TA_paracentral,-,0.255,2.95E-05,-0.132,0.258,2.32E-05,1.91E-02,yes,paracentral average gray matter thickness (mm) ,0.5,0,3.25E-05,0.387858785,0.0023443,0.363326843,0.3913283,0.114353067,0.0074165,0.457278686,MRI|tier1,primarySensoryMotor,153,369,5
TA_parahippocampal,-,0.413,4.40E-10,-0.170,0.441,4.17E-11,1.74E-02,yes,parahippocampal average gray matter thickness (mm) ,0.12332285,0.211868016,2.92E-07,0.481813991,7.58E-07,0.739277426,0.5,0,2.94E-06,1,MRI|tier1,posteriorAssociation,153,369,5
TA_parsopercularis,-,0.340,3.82E-07,-0.316,0.328,1.11E-06,8.00E-06,yes,pars opercularis average gray matter thickness (mm) ,0.4609945,0.018144639,0.0002037,0.338581064,0.0830042,0.159108169,0.5,0,0.18919655,0.151924923,MRI|tier1,prefrontal,153,369,5
TA_parsorbitalis,-,0.288,4.36E-06,-0.326,0.311,2.06E-06,1.43E-05,yes,pars orbitalis average gray matter thickness (mm) ,0.5,0,0.0013771,0.259926038,0.01619205,0.221696155,0.5,0,0.138975,0.150195333,MRI|tier1,prefrontal,153,369,5
TA_parstriangularis,-,0.316,2.75E-06,-0.316,0.326,2.01E-06,6.85E-06,yes,pars triangularis average gray matter thickness (mm) ,0.2766191,0.103402164,0.00053545,0.301757462,0.06634275,0.16761742,0.5,0,0.2378949,0.120151997,MRI|tier1,prefrontal,153,369,5
TA_pericalcarine,-,0.313,4.40E-07,-0.146,0.302,6.94E-07,2.69E-02,yes,pericalcarine average gray matter thickness (mm) ,0.30254735,0.111039042,4.38E-05,0.354716193,0.0517264,0.178253851,0.2795002,0.312066431,0.06147435,0.231884486,MRI|tier1,primarySensoryMotor,153,369,5
