FieldName,H2r,H2rPval,BP_pval,Variablefullname,Domain,Construct
DS_MemoryCorrect,0.202,4.29E-04,9.66E-02,Digit Symbol/ number correct responses- recall,Neuropsych- computer-administered,Visual learning|memory
DS_percentcorrect,0.000,5.00E-01,7.47E-02,Digit Symbol/ percent correct,Neuropsych- computer-administered,Psychomotor speed
FaceMemD_Correct,0.162,3.25E-03,1.14E-06,Face memory/ delayed condition-  number correct,Neuropsych- computer-administered,Visual learning|memory
FAS_total_correct,0.222,9.85E-06,3.47E-04,Verbal letter fluency/ total correct,Neuropsych- computer-administered,verbal fluency
IPCPT_Hits,0.141,7.22E-03,1.28E-07,Identical Pairs Continuous Performance Test- number of hits,Neuropsych- computer-administered,Sustained attention|working memory
IPCPT_Misses,0.141,7.22E-03,1.28E-07,Identical Pairs Continuous Performance Test- number of misses,Neuropsych- computer-administered,Sustained attention|working memory
MR_percent_correct,0.138,3.23E-03,3.96E-04,Matrix Reasoning/ percent correct,Neuropsych- computer-administered,Nonverbal abstract reasoning
PCET_Categories,0.066,7.13E-02,3.02E-02,Penn Conditional Exclusion Test - number categories achieved,Neuropsych- computer-administered,Nonverbal abstract reasoning
PCET_Correct,0.180,2.15E-04,4.80E-02,Penn Conditional Exclusion Test - number correct,Neuropsych- computer-administered,Nonverbal abstract reasoning
SCAP_Load3Correct,0.081,5.81E-02,7.31E-07,Spatial Capacity Task/ number correct- 3 dot condition,Neuropsych- computer-administered,spatial working memory accuracy
SCAP_Load3ReactionTime,0.000,5.00E-01,1.11E-02,Spatial Capacity Task/ reaction time- 3 dot condition,Neuropsych- computer-administered,spatial working memory speed
SCAP_Load5Correct,0.017,3.53E-01,4.79E-05,Spatial Capacity Task/ number correct- 5 dot condition,Neuropsych- computer-administered,spatial working memory accuracy
SCAP_Load5ReactionTime,0.047,1.65E-01,4.48E-01,Spatial Capacity Task/ reaction time- 5 dot condition,Neuropsych- computer-administered,spatial working memory speed
SCAP_meancorrect,0.026,2.90E-01,1.09E-07,Spatial Capacity Task/ mean number correct,Neuropsych- computer-administered,spatial working memory accuracy
SST_CorrectGo,0.157,8.05E-04,3.24E-05,Stop Signal Task/ number of correct Go trials,Neuropsych- computer-administered,Response inhibition
SST_CorrectStop,0.062,1.14E-01,8.46E-04,Stop Signal Task/number of  correct stop trials,Neuropsych- computer-administered,Response inhibition
SST_ISI,0.022,3.33E-01,1.36E-02,Stop Signal Task/ Inter-stimulus interval (Average interval between Go and Stop stimuli),Neuropsych- computer-administered,Response inhibition
TONI_percent_correct,0.112,2.56E-02,8.15E-04,Test of Nonverbal Intelligence/ percent correct,Neuropsych- computer-administered,Nonverbal abstract reasoning
Trails_LetterSequencingTime,0.356,2.28E-08,2.98E-04,Trails_LetterSequencingTime in seconds,Neuropsych- computer-administered,Psychomotor speed
Trails_NumberLetterSequencingT,0.380,3.15E-11,2.22E-07,Trails_NumberLetterSequencing/ Time in seconds,Neuropsych- computer-administered,Psychomotor speed|set shifting
Trails_NumberSequencingTime,0.340,9.37E-08,1.34E-04,Trails_NumberSequencingTime in seconds,Neuropsych- computer-administered,Psychomotor speed
VF_AnimalCorrect,0.320,1.43E-07,4.83E-06,Verbal fluency- animal naming/ number correct,Neuropsych- computer-administered,Verbal fluency
VWM_BacCorr,0.322,1.77E-09,6.80E-03,Verbal working memory - backwards correct,Neuropsych- computer-administered,Verbal learning|working memory
VWM_ForCorr,0.302,1.65E-06,1.43E-01,Verbal working memory - forward correct,Neuropsych- computer-administered,Verbal learning|working memory
VWM_LetCorr,0.279,1.78E-06,4.61E-05,Verbal working memory - letter number sequencing correct,Neuropsych- computer-administered,Verbal learning|working memory
Accumbens,0.583,9.69E-16,1.65E-01,nucleus accumbens volume (mm^3) ,MRI|tier1,basalGanglia
Amygdala,0.516,6.05E-09,2.90E-01,amygdala volume (mm^3) ,MRI|tier1,limbic
BrainStem,0.671,6.25E-22,2.89E-01,brain stem volume (mm^3) ,MRI|tier1,global
Caudate,0.678,5.20E-23,4.20E-01,caudate volume (mm^3) ,MRI|tier1,basalGanglia
ccAnterior,0.532,5.94E-13,4.68E-02,anterior corpus callosum volume (mm^3) ,MRI|tier1,global
ccCentral,0.480,1.16E-09,5.49E-03,central corpus callosum volume (mm^3) ,MRI|tier1,global
ccMidAnterior,0.372,3.03E-08,5.60E-02,middle anterior corpus callosum volume (mm^3) ,MRI|tier1,global
ccMidPosterior,0.449,5.47E-09,5.53E-03,middle posterior corpus callosum volume (mm^3) ,MRI|tier1,global
ccPosterior,0.689,3.69E-18,2.14E-02,posterior corpus callosum volume (mm^3) ,MRI|tier1,global
CerebellumCortex,0.798,1.66E-27,1.06E-01,cerebellum cortex volume (mm^3) ,MRI|tier1,cerebellum
CerebellumWhiteMatter,0.618,1.01E-17,7.29E-02,cerebellum white matter volume (mm^3) ,MRI|tier1,cerebellum
CerebralCortex,0.578,1.15E-15,1.09E-01,cerebral cortex volume (mm^3) ,MRI|tier1,global
CerebralWhiteMatter,0.596,3.42E-19,4.38E-01,cerebral white matter volume (mm^3) ,MRI|tier1,global
CorpusCallosum,0.636,4.85E-16,7.42E-03,total corpus callosum volume (mm^3) ,MRI|tier1,global
CSF,0.632,8.79E-20,9.87E-04,cerebrospinal fluid volume (mm^3) ,MRI|tier1,global
Hippocampus,0.536,1.06E-10,2.23E-01,hippocampus volume (mm^3) ,MRI|tier1,limbic
InfLatVent,0.289,3.88E-06,4.49E-03,inferior lateral ventricle volume (mm^3) ,MRI|tier1,global
LateralVentricle,0.503,1.98E-12,7.34E-04,lateral ventricle volume (mm^3) ,MRI|tier1,global
nonWMhypointensities,0.156,1.50E-02,3.03E-01,non white matter hypointensities volume (mm^3) ,MRI|tier1,global
Pallidum,0.490,6.91E-11,1.22E-01,pallidum volume (mm^3) ,MRI|tier1,basalGanglia
Putamen,0.514,2.64E-12,2.60E-02,putamen volume (mm^3) ,MRI|tier1,basalGanglia
SA_bankssts,0.358,4.04E-09,1.89E-01,posterior bank of the superior temporal sulcus surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_caudalanteriorcingulate,0.411,9.70E-11,4.89E-01,caudal anterior cingulate surface area (mm^2) ,MRI|tier1,limbic
SA_caudalmiddlefrontal,0.292,2.61E-06,1.31E-01,caudal middle frontal surface area (mm^2) ,MRI|tier1,prefrontal
SA_cuneus,0.273,7.85E-06,1.96E-01,cuneus surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_entorhinal,0.245,1.47E-04,4.21E-02,entorhinal surface area (mm^2) ,MRI|tier1,limbic
SA_frontalpole,0.125,3.50E-02,4.12E-01,frontal pole surface area (mm^2) ,MRI|tier1,prefrontal
SA_fusiform,0.315,1.55E-06,3.59E-01,fusiform surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_inferiorparietal,0.339,6.80E-07,4.86E-01,inferior parietal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_inferiortemporal,0.418,8.20E-12,3.06E-01,inferior temporal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_isthmuscingulate,0.650,2.65E-17,2.49E-01,isthmus cingulate surface area (mm^2) ,MRI|tier1,limbic
SA_lateraloccipital,0.510,1.69E-13,1.75E-01,lateral occipital surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_lateralorbitofrontal,0.173,2.63E-03,3.37E-01,lateral orbito frontal surface area (mm^2) ,MRI|tier1,prefrontal
SA_lingual,0.484,2.51E-14,1.15E-01,lingual surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_medialorbitofrontal,0.176,9.31E-03,2.01E-01,medial orbito frontal surface area (mm^2) ,MRI|tier1,prefrontal
SA_middletemporal,0.425,1.28E-10,1.96E-01,middle temporal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_paracentral,0.328,4.24E-06,4.36E-01,paracentral surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_parahippocampal,0.352,1.06E-07,1.78E-01,parahippocampal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_parsopercularis,0.258,1.21E-05,3.42E-02,pars opercularis surface area (mm^2) ,MRI|tier1,prefrontal
SA_parsorbitalis,0.153,1.29E-02,3.43E-01,pars orbitalis surface area (mm^2) ,MRI|tier1,prefrontal
SA_parstriangularis,0.378,5.79E-09,8.75E-02,pars triangularis surface area (mm^2) ,MRI|tier1,prefrontal
SA_pericalcarine,0.536,1.84E-17,2.16E-01,pericalcarine surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_postcentral,0.184,5.12E-03,4.99E-01,postcentral surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_posteriorcingulate,0.307,2.28E-05,4.06E-01,posterior cingulate surface area (mm^2) ,MRI|tier1,limbic
SA_precentral,0.249,1.03E-04,1.48E-01,precentral surface area (mm^2) ,MRI|tier1,primarySensoryMotor
SA_precuneus,0.397,5.28E-11,4.24E-01,precuneus surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_rostralanteriorcingulate,0.345,1.96E-09,3.80E-01,rostral anterior cingulate surface area (mm^2) ,MRI|tier1,limbic
SA_rostralmiddlefrontal,0.350,7.14E-07,6.74E-02,rostral middle frontal surface area (mm^2) ,MRI|tier1,prefrontal
SA_superiorfrontal,0.578,4.50E-16,3.84E-01,superior frontal surface area (mm^2) ,MRI|tier1,prefrontal
SA_superiorparietal,0.441,1.00E-09,3.07E-01,superior parietal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_superiortemporal,0.279,2.12E-04,3.75E-01,superior temporal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_supramarginal,0.290,6.97E-05,1.88E-01,supramarginal surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_temporalpole,0.413,5.43E-09,6.28E-02,temporal pole surface area (mm^2) ,MRI|tier1,posteriorAssociation
SA_transversetemporal,0.356,2.91E-07,1.95E-01,transverse temporal surface area (mm^2) ,MRI|tier1,primarySensoryMotor
TA_bankssts,0.331,6.80E-06,3.57E-06,posterior bank of the superior temporal sulcus average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_caudalanteriorcingulate,0.196,1.70E-03,1.89E-01,caudal anterior cingulate average gray matter thickness (mm) ,MRI|tier1,limbic
TA_caudalmiddlefrontal,0.257,2.27E-04,5.66E-03,caudal middle frontal average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_cuneus,0.372,1.61E-09,2.21E-01,cuneus average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_entorhinal,0.263,3.00E-05,2.17E-02,entorhinal average gray matter thickness (mm) ,MRI|tier1,limbic
TA_frontalpole,0.225,4.37E-05,1.03E-05,frontal pole average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_fusiform,0.369,6.27E-09,1.36E-04,fusiform average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_inferiorparietal,0.428,3.19E-11,5.22E-03,inferior parietal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_inferiortemporal,0.349,3.38E-07,2.57E-04,inferior temporal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_isthmuscingulate,0.441,1.44E-09,3.40E-03,isthmus cingulate average gray matter thickness (mm) ,MRI|tier1,limbic
TA_lateraloccipital,0.494,3.70E-14,5.57E-03,lateral occipital average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_lateralorbitofrontal,0.247,2.03E-04,4.88E-05,lateral orbito frontal average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_lingual,0.267,1.93E-05,1.53E-05,lingual average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_medialorbitofrontal,0.167,4.71E-03,3.70E-02,medial orbito frontal average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_middletemporal,0.313,1.69E-06,6.77E-03,middle temporal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_paracentral,0.254,3.54E-05,2.14E-02,paracentral average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_parahippocampal,0.410,5.34E-10,1.84E-02,parahippocampal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_parsopercularis,0.338,4.46E-07,1.07E-05,pars opercularis average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_parsorbitalis,0.287,4.38E-06,1.72E-05,pars orbitalis average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_parstriangularis,0.313,3.15E-06,9.15E-06,pars triangularis average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_pericalcarine,0.311,7.44E-07,2.97E-02,pericalcarine average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_postcentral,0.304,9.75E-06,2.07E-01,postcentral average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_posteriorcingulate,0.321,2.28E-06,2.63E-02,posterior cingulate average gray matter thickness (mm) ,MRI|tier1,limbic
TA_precentral,0.204,9.14E-04,1.31E-02,precentral average gray matter thickness (mm) ,MRI|tier1,primarySensoryMotor
TA_precuneus,0.307,4.74E-06,2.35E-03,precuneus average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_rostralanteriorcingulate,0.262,4.74E-05,2.92E-01,rostral anterior cingulate average gray matter thickness (mm) ,MRI|tier1,limbic
TA_rostralmiddlefrontal,0.313,4.95E-06,8.00E-06,rostral middle frontal average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_superiorfrontal,0.197,2.04E-03,1.09E-04,superior frontal average gray matter thickness (mm) ,MRI|tier1,prefrontal
TA_superiorparietal,0.292,2.70E-06,2.20E-02,superior parietal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_superiortemporal,0.332,2.75E-07,9.33E-05,superior temporal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_supramarginal,0.304,6.75E-06,5.79E-03,supramarginal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_temporalpole,0.118,2.56E-02,6.20E-03,temporal pole average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
TA_transversetemporal,0.343,1.55E-06,8.09E-03,transverse temporal average gray matter thickness (mm) ,MRI|tier1,posteriorAssociation
Thalamus,0.599,3.36E-20,2.40E-01,thalamus volume (mm^3) ,MRI|tier1,diencephalon
TotalBrainVolume,0.813,1.79E-33,4.52E-06,total brain volume (mm^3) ,MRI|tier1,global
TotalCerebellum,0.816,1.50E-26,3.04E-01,total cerebellum volume (mm^3) ,MRI|tier1,cerebellum
TotalCerebrum,0.697,1.61E-17,1.71E-01,total cerebrum volume (mm^3) ,MRI|tier1,global
TotalSurfaceArea,0.826,5.47E-32,4.61E-02,total surface area (mm^2),MRI|tier1,global
VentralDC,0.561,1.19E-13,2.35E-01,ventral diencephalon volume (mm^3) ,MRI|tier1,diencephalon
WMhypointensities,0.085,1.05E-01,3.13E-02,white matter hypointensities volume (mm^3) ,MRI|tier1,global
X3rdVentricle,0.513,4.78E-15,1.90E-06,third ventricle volume (mm^3) ,MRI|tier1,global
X4thVentricle,0.588,2.74E-17,1.58E-02,fourth ventricle volume (mm^3) ,MRI|tier1,global
region_10_FA,0.565,2.24E-05,1.82E-02,genu corpus callosum fractional anisotropy,DTI ,connects right & left hemisphere- anterior
region_10_L1,0.579,1.72E-07,1.60E-01,genu corpus callosum axial diffusivity,DTI ,connects right & left hemisphere- anterior
region_10_RD,0.551,3.12E-05,2.88E-02,genu corpus callosum radial diffusivity,DTI ,connects right & left hemisphere- anterior
region_11and12_FA,0.582,2.50E-07,7.15E-03,inferior fronto-occipital fasiculus  fractional anisotropy,DTI ,connects frontal & occipital lobes
region_11and12_L1,0.776,4.52E-18,6.25E-02,inferior fronto-occipital fasiculus axial diffusivity,DTI ,connects frontal & occipital lobes
region_11and12_RD,0.523,5.30E-07,3.35E-02,inferior fronto-occipital fasiculus radial diffusivity,DTI ,connects frontal & occipital lobes
region_13and14_FA,0.471,4.07E-05,1.00E-02,inferior longitudinal fasiculus fractional anisotropy,DTI ,connects the temporal & occipital lobes
region_13and14_L1,0.762,6.81E-14,2.25E-01,inferior longitudinal fasiculus axial diffusivity,DTI ,connects the temporal & occipital lobes
region_13and14_RD,0.600,1.22E-06,1.07E-02, inferior longitudinal fasiculus radial diffusivity,DTI ,connects the temporal & occipital lobes
region_17and18_FA,0.556,5.65E-06,4.98E-02,uncinate fasiculus fractional anisotropy,DTI ,connects limbic system structures to frontal lobes
region_17and18_L1,0.682,8.61E-14,1.72E-01,uncinate fasiculus axial diffusivity,DTI ,connects limbic system structures to frontal lobes
region_17and18_RD,0.289,1.51E-03,9.56E-02,uncinate fasiculus radial diffusivity,DTI ,connects limbic system structures to frontal lobes
region_1and2_FA,0.609,5.33E-11,1.51E-01,anterior thalamic radiation fractional anisotropy,DTI ,connects thalamus to prefrontal cortex
region_1and2_L1,0.773,2.30E-14,7.39E-02,anterior thalamic radiation axial diffusivity,DTI ,connects thalamus to prefrontal cortex
region_1and2_RD,0.310,3.51E-04,2.79E-01,anterior thalamic radiation radial diffusivity,DTI ,connects thalamus to prefrontal cortex
region_9_FA,0.471,1.21E-05,6.84E-05,splenium corpus callosum fractional anisotropy,DTI ,connects right & left hemisphere- posterior
region_9_L1,0.904,3.01E-16,3.10E-01,splenium corpus callosum axial diffusivity,DTI ,connects right & left hemisphere- posterior
region_9_RD,0.723,1.40E-10,5.38E-05,splenium corpus callosum radial diffusivity,DTI ,connects right & left hemisphere- posterior
