FieldName,PlotName,PlotGroup,PlotDomain
SCAP_Load3ReactionTime,SCAP Reaction Time 3 Dot Condition,Working Memory,Neurocognition
SCAP_Load5Correct,SCAP  Num  Correct 5 Dot Condition,Working Memory,Neurocognition
SCAP_Load5ReactionTime,SCAP Reaction Time 5 Dot Condition,Working Memory,Neurocognition
SCAP_meancorrect,SCAP Mean  Num  Correct All Trials,Working Memory,Neurocognition
SST_CorrectGo,SST Correct Go,Executive Function,Neurocognition
SST_CorrectStop,SST Correct Stop,Executive Function,Neurocognition
SST_ISI,SST Inter-stimulus Interval,Executive Function,Neurocognition
TONI_percent_correct,TONI  Num  Correct,Executive Function,Neurocognition
Trails_LetterSequencingTime,Trailmaking Letter Sequecing Time,Processing Speed,Neurocognition
Trails_NumberLetterSequencingT,Trailmaking Number-Letter Seq. Time,Processing Speed,Neurocognition
Trails_NumberSequencingTime,Trailmaking Number Sequencing Time,Processing Speed,Neurocognition
VF_AnimalCorrect,Verbal Category Fluency,Verbal Fluency,Neurocognition
VWM_BacCorr,VWM Digits Backward  Num  Correct,Working Memory,Neurocognition
VWM_ForCorr,VWM Digits Forward  Num  Correct,Working Memory,Neurocognition
VWM_LetCorr,VWM Letter-Number Seq.  Num  Correct,Working Memory,Neurocognition
TotalBrainVolume,Total Brain Volume,MRI Volume,Neuroimaging
TotalSurfaceArea,Total Surface Area,Cortical Surface Area,Neuroimaging
TotalCerebrum,Cerebral Volume,MRI Volume,Neuroimaging
TotalCerebellum,Cerebellar Volume,MRI Volume,Neuroimaging
BrainStem,Brain Stem,MRI Volume,Neuroimaging
CSF,Cerebrospinal Fluid,MRI Volume,Neuroimaging
CerebralCortex,Cerebral Cortex,MRI Volume,Neuroimaging
CerebellumWhiteMatter,Cerebellar White Matter,MRI Volume,Neuroimaging
CerebellumCortex,Cerebellar Cortex,MRI Volume,Neuroimaging
CerebralWhiteMatter,Cerebral White Matter,MRI Volume,Neuroimaging
WMhypointensities,White Matter Hypointensities,MRI Volume,Neuroimaging
nonWMhypointensities,non-White Matter Hypointensities,MRI Volume,Neuroimaging
LateralVentricle,Lateral Ventricle,MRI Volume,Neuroimaging
InfLatVent,Inferior Lateral Ventricle,MRI Volume,Neuroimaging
X3rdVentricle,Third Ventricle,MRI Volume,Neuroimaging
X4thVentricle,Fourth Ventricle,MRI Volume,Neuroimaging
Thalamus,Thalamus,MRI Volume,Neuroimaging
VentralDC,Ventral Diencephalon,MRI Volume,Neuroimaging
CorpusCallosum,Total Corpus Callosum,MRI Volume,Neuroimaging
ccAnterior,Anterior Corpus Callosum,MRI Volume,Neuroimaging
ccCentral,Central Corpus Callosum,MRI Volume,Neuroimaging
ccMidAnterior,Mid-Anterior Corpus Callosum,MRI Volume,Neuroimaging
ccMidPosterior,Mid-Posterior Corpus Callosum,MRI Volume,Neuroimaging
ccPosterior,Posterior Corpus Callosum,MRI Volume,Neuroimaging
Hippocampus,Hippocampus,MRI Volume,Neuroimaging
Amygdala,Amygdala,MRI Volume,Neuroimaging
Caudate,Caudate,MRI Volume,Neuroimaging
Putamen,Putamen,MRI Volume,Neuroimaging
Pallidum,Pallidum,MRI Volume,Neuroimaging
Accumbens,Nucleus Accumbens,MRI Volume,Neuroimaging
SA_bankssts,Posterior Bank Sup. Temporal Sulcus (SA),Cortical Surface Area,Neuroimaging
SA_caudalanteriorcingulate,Caudal Anterior Cingulate (SA),Cortical Surface Area,Neuroimaging
SA_caudalmiddlefrontal,Caudal Middle Frontal (SA),Cortical Surface Area,Neuroimaging
SA_cuneus,Cuneus (SA),Cortical Surface Area,Neuroimaging
SA_entorhinal,Entorhinal (SA),Cortical Surface Area,Neuroimaging
SA_frontalpole,Frontal Pole (SA),Cortical Surface Area,Neuroimaging
SA_fusiform,Fusiform (SA),Cortical Surface Area,Neuroimaging
SA_inferiorparietal,Inferior Parietal (SA),Cortical Surface Area,Neuroimaging
SA_inferiortemporal,Inferior Temporal (SA),Cortical Surface Area,Neuroimaging
SA_isthmuscingulate,Isthmus Cingulate (SA),Cortical Surface Area,Neuroimaging
SA_lateraloccipital,Lateral Occipital (SA),Cortical Surface Area,Neuroimaging
SA_lateralorbitofrontal,Lateral Orbitofrontal (SA),Cortical Surface Area,Neuroimaging
SA_lingual,Lingual (SA),Cortical Surface Area,Neuroimaging
SA_medialorbitofrontal,Medial Orbitofrontal (SA),Cortical Surface Area,Neuroimaging
SA_middletemporal,Middle Temporal (SA),Cortical Surface Area,Neuroimaging
SA_paracentral,Paracentral (SA),Cortical Surface Area,Neuroimaging
SA_parahippocampal,Parahippocampal (SA),Cortical Surface Area,Neuroimaging
SA_parsopercularis,Pars Opercularis (SA),Cortical Surface Area,Neuroimaging
SA_parsorbitalis,Pars Orbitalis (SA),Cortical Surface Area,Neuroimaging
SA_parstriangularis,Pars Triangularis (SA),Cortical Surface Area,Neuroimaging
SA_pericalcarine,Pericalcarine (SA),Cortical Surface Area,Neuroimaging
SA_postcentral,Postcentral (SA),Cortical Surface Area,Neuroimaging
SA_posteriorcingulate,Posterior Cingulate (SA),Cortical Surface Area,Neuroimaging
SA_precentral,Precentral (SA),Cortical Surface Area,Neuroimaging
SA_precuneus,Precuneus (SA),Cortical Surface Area,Neuroimaging
SA_rostralanteriorcingulate,Rostral Anterior Cingulate (SA),Cortical Surface Area,Neuroimaging
SA_rostralmiddlefrontal,Rostral Middle Frontal (SA),Cortical Surface Area,Neuroimaging
SA_superiorfrontal,Superior Frontal (SA),Cortical Surface Area,Neuroimaging
SA_superiorparietal,Superior Parietal (SA),Cortical Surface Area,Neuroimaging
SA_superiortemporal,Superior Temporal (SA),Cortical Surface Area,Neuroimaging
SA_supramarginal,Supramarginal (SA),Cortical Surface Area,Neuroimaging
SA_temporalpole,Temporal Pole (SA),Cortical Surface Area,Neuroimaging
SA_transversetemporal,Transverse Temporal (SA),Cortical Surface Area,Neuroimaging
TA_bankssts,Posterior Bank Sup. Temporal Sulcus (T),Cortical Thickness,Neuroimaging
TA_caudalanteriorcingulate,Caudal Anterior Cingulate (T),Cortical Thickness,Neuroimaging
TA_caudalmiddlefrontal,Caudal Middle Frontal (T),Cortical Thickness,Neuroimaging
TA_cuneus,Cuneus (T),Cortical Thickness,Neuroimaging
TA_entorhinal,Entorhinal (T),Cortical Thickness,Neuroimaging
TA_frontalpole,Frontal Pole (T),Cortical Thickness,Neuroimaging
TA_fusiform,Fusiform (T),Cortical Thickness,Neuroimaging
TA_inferiorparietal,Inferior Parieta (T),Cortical Thickness,Neuroimaging
TA_inferiortemporal,Inferior Temporal (T),Cortical Thickness,Neuroimaging
TA_isthmuscingulate,Isthmus Cingulate (T),Cortical Thickness,Neuroimaging
TA_lateraloccipital,Lateral Occipital (T),Cortical Thickness,Neuroimaging
TA_lateralorbitofrontal,Lateral Orbitofrontal (T),Cortical Thickness,Neuroimaging
TA_lingual,Lingual (T),Cortical Thickness,Neuroimaging
TA_medialorbitofrontal,Medial Orbitofrontal (T),Cortical Thickness,Neuroimaging
TA_middletemporal,Middle Temporal (T),Cortical Thickness,Neuroimaging
TA_paracentral,Paracentral (T),Cortical Thickness,Neuroimaging
TA_parahippocampal,Parahippocampa (T),Cortical Thickness,Neuroimaging
TA_parsopercularis,Pars Opercularis (T),Cortical Thickness,Neuroimaging
TA_parsorbitalis,Pars Orbitalis (T),Cortical Thickness,Neuroimaging
TA_parstriangularis,Pars Triangularis (T),Cortical Thickness,Neuroimaging
TA_pericalcarine,Pericalcarine (T),Cortical Thickness,Neuroimaging
TA_postcentral,Postcentral (T),Cortical Thickness,Neuroimaging
TA_posteriorcingulate,Posterior Cingulate (T),Cortical Thickness,Neuroimaging
TA_precentral,Precentral (T),Cortical Thickness,Neuroimaging
TA_precuneus,Precuneus (T),Cortical Thickness,Neuroimaging
TA_rostralanteriorcingulate,Rostral Anterior Cingulate (T),Cortical Thickness,Neuroimaging
TA_rostralmiddlefrontal,Rostral Middle Frontal (T),Cortical Thickness,Neuroimaging
TA_superiorfrontal,Superior Frontal (T),Cortical Thickness,Neuroimaging
TA_superiorparietal,Superior Parietal (T),Cortical Thickness,Neuroimaging
TA_superiortemporal,Superior Temporal (T),Cortical Thickness,Neuroimaging
TA_supramarginal,Supramarginal (T),Cortical Thickness,Neuroimaging
TA_temporalpole,Temporal Pole (T),Cortical Thickness,Neuroimaging
TA_transversetemporal,Transverse Temporal (T),Cortical Thickness,Neuroimaging
region_10_FA,Genu Corpus Callosum (FA),Fractional Anisotropy,Neuroimaging
region_10_L1,Genu Corpus Callosum (AD),Axial Diffusivity,Neuroimaging
region_10_RD,Genu Corpus Callosum (RD),Radial Diffusivity,Neuroimaging
region_11and12_FA,Inferior Fronto-Occipital Fasciculus (FA),Fractional Anisotropy,Neuroimaging
region_11and12_L1,Inferior Fronto-Occipital Fasciculus (AD),Axial Diffusivity,Neuroimaging
region_11and12_RD,Inferior Fronto-Occipital Fasciculus (RD),Radial Diffusivity,Neuroimaging
region_13and14_FA,Inferior Longitudinal Fasciculus (FA),Fractional Anisotropy,Neuroimaging
region_13and14_L1,Inferior Longitudinal Fasciculus (AD),Axial Diffusivity,Neuroimaging
region_13and14_RD,Inferior Longitudinal Fasciculus (RD),Radial Diffusivity,Neuroimaging
region_17and18_FA,Uncinate Fasciculus (FA),Fractional Anisotropy,Neuroimaging
region_17and18_L1,Uncinate Fasciculus (AD),Axial Diffusivity,Neuroimaging
region_17and18_RD,Uncinate Fasciculus (RD),Radial Diffusivity,Neuroimaging
region_1and2_FA,Anterior Thalamic Radiation (FA),Fractional Anisotropy,Neuroimaging
region_1and2_L1,Anterior Thalamic Radiation (AD),Axial Diffusivity,Neuroimaging
region_1and2_RD,Anterior Thalamic Radiation (RD),Radial Diffusivity,Neuroimaging
region_9_FA,Splenium Corpus Callosum (FA),Fractional Anisotropy,Neuroimaging
region_9_L1,Splenium Corpus Callosum (AD),Axial Diffusivity,Neuroimaging
region_9_RD,Splenium Corpus Callosum (RD),Radial Diffusivity,Neuroimaging
